"affyID","module","entrezID","symbol"
"1569150_x_at","0","21065","PDLIM7"
"1569251_a_at","0","19636","ZNF333"
"1569307_s_at","0","1","---"
"1569330_at","0","865","STX18-AS1"
"1569374_at","0","10621","C3orf62"
"1569599_at","0","16155","SAMSN1"
"1569709_at","0","6967","SZT2"
"1569773_at","0","2306","ATP8A1"
"1569775_at","0","3284","RNF157"
"1569788_at","0","16644","ST8SIA1"
"1569791_at","0","17107","STK4"
"1569909_at","0","9965","KRT79"
"1570052_at","0","4510","MIPOL1"
"1570251_at","0","7672","HECTD1"
"1570259_at","0","11063","LIMS1"
"1570352_at","0","11974","ATM"
"1570371_a_at","0","20118","EPT1"
"1570425_s_at","0","20784","LATS1"
"200646_s_at","0","12149","NUCB1"
"200727_s_at","0","1126","ACTR2"
"200762_at","0","5646","DPYSL2"
"200832_s_at","0","15994","SCD"
"200862_at","0","5569","DHCR24"
"200878_at","0","6038","EPAS1"
"200922_at","0","2786","KDELR1"
"200954_at","0","13082","ATP6V0C"
"201009_s_at","0","2527","TXNIP"
"201042_at","0","17317","TGM2"
"201043_s_at","0","18905","ANP32A"
"201058_s_at","0","2308","MYL9"
"201131_s_at","0","21872","CDH1"
"201156_s_at","0","15541","RAB5C"
"201161_s_at","0","20043","YBX3"
"201171_at","0","20542","ATP6V0E1"
"201251_at","0","13127","PKM"
"201294_s_at","0","7922","WSB1"
"201340_s_at","0","20009","ENC1"
"201389_at","0","10483","ITGA5"
"201438_at","0","3945","COL6A3"
"201452_at","0","15701","RHEB"
"201461_s_at","0","21067","MAPKAPK2"
"201551_s_at","0","11004","LAMP1"
"201556_s_at","0","17149","VAMP2"
"201564_s_at","0","16937","FSCN1"
"201580_s_at","0","14653","TMX4"
"201626_at","0","10448","INSIG1"
"201679_at","0","12873","SRRT"
"201681_s_at","0","21015","DLG5"
"201693_s_at","0","5762","EGR1"
"201694_s_at","0","5762","EGR1"
"201793_x_at","0","21776","SMG7"
"201826_s_at","0","12482","SCCPDH"
"201838_s_at","0","21803","SUPT7L"
"201918_at","0","13938","SLC25A36"
"201996_s_at","0","6661","SPEN"
"202017_at","0","6075","EPHX1"
"202023_at","0","5747","EFNA1"
"202068_s_at","0","11032","LDLR"
"202218_s_at","0","21307","FADS2"
"202247_s_at","0","20782","MTA1"
"202454_s_at","0","6096","ERBB3"
"202503_s_at","0","21660","KIAA0101"
"202528_at","0","7660","GALE"
"202549_at","0","20983","VAPB"
"202669_s_at","0","5753","EFNB2"
"202687_s_at","0","20304","TNFSF10"
"202821_s_at","0","11288","LPP"
"202835_at","0","2755","TXNL4A"
"202862_at","0","6192","FAH"
"202881_x_at","0","1","---"
"202887_s_at","0","13441","DDIT4"
"202905_x_at","0","11937","NBN"
"202908_at","0","17788","WFS1"
"202944_at","0","11921","NAGA"
"202954_at","0","2893","UBE2C"
"202975_s_at","0","6515","RHOBTB3"
"202976_s_at","0","6515","RHOBTB3"
"202998_s_at","0","11275","LOXL2"
"203126_at","0","10425","IMPA2"
"203141_s_at","0","20112","AP3B1"
"203176_s_at","0","17284","TFAM"
"203294_s_at","0","11094","LMAN1"
"203304_at","0","7646","BAMBI"
"203330_s_at","0","17120","STX5"
"203373_at","0","20381","SOCS2"
"203431_s_at","0","21633","ARHGAP32"
"203479_s_at","0","13525","OTUD4"
"203491_s_at","0","21589","CEP57"
"203587_at","0","10697","ARL4D"
"203601_s_at","0","17944","ZBTB17"
"203633_at","0","4210","CPT1A"
"203634_s_at","0","4210","CPT1A"
"203658_at","0","18047","SLC25A20"
"203684_s_at","0","15651","BCL2"
"203706_s_at","0","19128","FZD7"
"203805_s_at","0","6184","FANCA"
"203945_at","0","10745","ARG2"
"203990_s_at","0","17740","KDM6A"
"204014_at","0","5684","DUSP4"
"204015_s_at","0","5684","DUSP4"
"204040_at","0","21673","RNF144A"
"204067_at","0","17132","SUOX"
"204081_at","0","12126","NRGN"
"204099_at","0","16916","SMARCD3"
"204105_s_at","0","12121","NRCAM"
"204150_at","0","6810","STAB1"
"204162_at","0","2315","NDC80"
"204271_s_at","0","5726","EDNRB"
"204276_at","0","17347","TK2"
"204310_s_at","0","12109","NPR2"
"204315_s_at","0","12816","GTSE1"
"204324_s_at","0","8450","GOLIM4"
"204420_at","0","18802","FOSL1"
"204457_s_at","0","7968","GAS1"
"204475_at","0","11590","MMP1"
"204592_at","0","5591","DLG4"
"204608_at","0","11621","ASL"
"204622_x_at","0","12154","NR4A2"
"204629_at","0","9418","PARVB"
"204656_at","0","16490","SHB"
"204695_at","0","21819","CDC25A"
"204698_at","0","10474","ISG20"
"204758_s_at","0","21742","C2CD2L"
"204803_s_at","0","15926","RRAD"
"204840_s_at","0","19430","EEA1"
"204866_at","0","21659","JADE3"
"204959_at","0","11611","MNDA"
"204963_at","0","18854","SSPN"
"204986_s_at","0","21192","TAOK2"
"205034_at","0","20823","CCNE2"
"205049_s_at","0","21619","CD79A"
"205054_at","0","11956","NEB"
"205075_at","0","13175","SERPINF2"
"205088_at","0","513","MAMLD1"
"205115_s_at","0","21793","RBM19"
"205143_at","0","4570","NCAN"
"205147_x_at","0","11942","NCF4"
"205179_s_at","0","1178","ADAM8"
"205184_at","0","8522","GNG4"
"205195_at","0","3486","AP1S1"
"205209_at","0","20763","ACVR1B"
"205239_at","0","10542","AREG"
"205242_at","0","2465","CXCL13"
"205290_s_at","0","16687","BMP2"
"205316_at","0","16848","SLC15A2"
"205409_at","0","7150","FOSL2"
"205411_at","0","17107","STK4"
"205418_at","0","6449","FES"
"205442_at","0","21737","LOC101928198 /// MFAP3L"
"205445_at","0","14629","PRL"
"205451_at","0","11586","FOXO4"
"205459_s_at","0","12097","NPAS2"
"205461_at","0","2852","RAB35"
"205468_s_at","0","10470","IRF5"
"205484_at","0","8393","SIT1"
"205488_at","0","9552","GZMA"
"205493_s_at","0","2473","DPYSL4"
"205569_at","0","8294","LAMP3"
"205585_at","0","6139","ETV6"
"205598_at","0","2214","TRAIP"
"205603_s_at","0","5579","DIAPH2"
"205605_at","0","9818","HOXD9"
"205639_at","0","9706","AOAH"
"205659_at","0","21624","HDAC9"
"205692_s_at","0","21410","CD38"
"205698_s_at","0","14579","MAP2K6"
"205731_s_at","0","2406","NCOA2"
"205754_at","0","6159","F2"
"205796_at","0","14103","TCP11L1"
"205798_at","0","10386","IL7R"
"205813_s_at","0","11447","MAT1A"
"205816_at","0","10503","ITGB8"
"205839_s_at","0","21056","BZRAP1"
"205883_at","0","17940","ZBTB16"
"205898_at","0","4968","CX3CR1"
"205918_at","0","16715","SLC4A3"
"205929_at","0","2044","GPA33"
"205942_s_at","0","15972","ACSM3"
"205946_at","0","17766","VIPR2"
"205965_at","0","2439","BATF"
"205966_at","0","17185","TAF13"
"205977_s_at","0","6057","EPHA1"
"206031_s_at","0","18845","USP5"
"206051_at","0","5851","ELAVL4"
"206076_at","0","2054","LRRC23"
"206089_at","0","12000","NELL1"
"206141_at","0","8434","MOCS3"
"206185_at","0","4393","CRYBB1"
"206195_x_at","0","8225","GH2"
"206206_at","0","11347","CD180"
"206220_s_at","0","6504","RASA3"
"206221_at","0","6504","RASA3"
"206278_at","0","15048","PTAFR"
"206308_at","0","5627","TRDMT1"
"206331_at","0","2020","CALCRL"
"206338_at","0","5850","ELAVL3"
"206359_at","0","20595","SOCS3"
"206396_at","0","16700","SLC1A1"
"206421_s_at","0","20271","SERPINB7"
"206478_at","0","21724","KIAA0125"
"206494_s_at","0","10480","ITGA2B"
"206530_at","0","8438","RAB30"
"206536_s_at","0","9875","XIAP"
"206558_at","0","16663","SIM2"
"206608_s_at","0","14932","RPGRIP1"
"206620_at","0","2626","GRAP"
"206683_at","0","17950","ZNF165"
"206693_at","0","10385","IL7"
"206694_at","0","13270","PNLIPRP1"
"206724_at","0","20052","CBX4"
"206769_at","0","20742","TMSB4Y"
"206804_at","0","20898","CD3G"
"206821_x_at","0","9841","AGFG2"
"206825_at","0","12241","OXTR"
"206857_s_at","0","6500","FKBP1B"
"206864_s_at","0","20297","HRK"
"206873_at","0","17910","CA6"
"206905_s_at","0","11455","MATN1"
"206924_at","0","10396","IL11"
"206967_at","0","20636","CCNT1"
"206978_at","0","17597","CCR2"
"206993_at","0","8318","ATP5S"
"207001_x_at","0","5670","TSC22D3"
"207020_at","0","2906","HSF2BP"
"207068_at","0","17840","ZFP37"
"207072_at","0","20354","IL18RAP"
"207092_at","0","11035","LEP"
"207111_at","0","5962","EMR1"
"207113_s_at","0","17384","TNF"
"207123_s_at","0","20332","MATN4"
"207201_s_at","0","16865","SLC22A1"
"207206_s_at","0","7282","ALOX12"
"207219_at","0","16753","ZFP69B"
"207237_at","0","10538","KCNA3"
"207306_at","0","17238","TCF15"
"207369_at","0","17115","BRS3"
"207400_at","0","12116","NPY5R"
"207433_at","0","10393","IL10"
"207439_s_at","0","17704","SLC35A2"
"207460_at","0","9561","GZMM"
"207489_at","0","18627","RPS2P45 /// RPS2P45"
"207509_s_at","0","10976","LAIR2"
"207533_at","0","16021","CCL1"
"207568_at","0","20493","CHRNA6"
"207604_s_at","0","21386","SLC4A7"
"207643_s_at","0","17391","TNFRSF1A"
"207662_at","0","17198","TBX1"
"207681_at","0","8639","CXCR3"
"207691_x_at","0","21420","ENTPD1"
"207741_x_at","0","17433","TPSAB1"
"207765_s_at","0","18732","FAM214B"
"207778_at","0","15658","REG1P"
"207796_x_at","0","10733","KLRD1"
"207826_s_at","0","10052","ID3"
"207838_x_at","0","15067","PBXIP1"
"207860_at","0","21330","NCR1"
"207861_at","0","16040","CCL22"
"207917_at","0","1","---"
"207930_at","0","11022","LCN1"
"207971_s_at","0","6822","CEP68"
"207980_s_at","0","2283","CITED2"
"208090_s_at","0","9834","AIRE"
"208141_s_at","0","19175","DOHH"
"208168_s_at","0","3005","CHIT1"
"208180_s_at","0","19234","HIST1H4H"
"208216_at","0","5596","DLX4"
"208219_at","0","20763","ACVR1B"
"208232_x_at","0","9653","NRG1"
"208376_at","0","3659","CCR4"
"208389_s_at","0","16705","SLC1A2"
"208426_x_at","0","10715","KIR2DL4"
"208441_at","0","10241","IGF1R"
"208478_s_at","0","15433","BAX"
"208493_at","0","9790","HOXA11"
"208496_x_at","0","19200","HIST1H3G"
"208524_at","0","8743","GPR15"
"208536_s_at","0","344","BCL2L11"
"208564_at","0","10537","KCNA2"
"208594_x_at","0","18179","LILRA6"
"208608_s_at","0","16955","SNTB1"
"208719_s_at","0","2424","DDX17"
"208730_x_at","0","15521","RAB2A"
"208748_s_at","0","2031","FLOT1"
"208763_s_at","0","5670","TSC22D3"
"208791_at","0","3545","CLU"
"208792_s_at","0","3545","CLU"
"208876_s_at","0","12301","PAK2"
"208937_s_at","0","10028","ID1"
"208978_at","0","4286","CRIP2"
"209013_x_at","0","17454","TRIO"
"209052_s_at","0","17789","WHSC1"
"209099_x_at","0","5657","JAG1"
"209138_x_at","0","10350","IGLC1"
"209146_at","0","15984","MSMO1"
"209160_at","0","20208","AKR1C3"
"209200_at","0","11515","MEF2C"
"209209_s_at","0","2815","FERMT2"
"209212_s_at","0","17180","KLF5"
"209258_s_at","0","20806","SMC3"
"209324_s_at","0","15697","RGS16"
"209325_s_at","0","15697","RGS16"
"209344_at","0","17428","TPM4"
"209349_at","0","1205","RAD50"
"209357_at","0","2283","CITED2"
"209371_s_at","0","16445","SH3BP2"
"209399_at","0","9714","HLCS"
"209474_s_at","0","21420","ENTPD1"
"209512_at","0","19525","HSDL2"
"209525_at","0","12339","HDGFRP3"
"209528_s_at","0","21782","TELO2"
"209582_s_at","0","11620","CD200"
"209610_s_at","0","16720","SLC1A4"
"209695_at","0","2977","PTP4A3"
"209727_at","0","8500","GM2A"
"209734_at","0","9625","NCKAP1L"
"209778_at","0","21160","TRIP11"
"209807_s_at","0","12030","NFIX"
"209815_at","0","15055","PTCH1"
"209840_s_at","0","13503","LRRN3"
"209841_s_at","0","13503","LRRN3"
"209967_s_at","0","4259","CREM"
"209999_x_at","0","20217","SOCS1"
"210001_s_at","0","20217","SOCS1"
"210012_s_at","0","6147","EWSR1"
"210023_s_at","0","19804","PCGF1"
"210029_at","0","10431","IDO1"
"210063_at","0","5602","SARDH"
"210073_at","0","16644","ST8SIA1"
"210164_at","0","9559","GZMB"
"210166_at","0","17363","TLR5"
"210168_at","0","17581","C6"
"210192_at","0","2306","ATP8A1"
"210204_s_at","0","12083","CNOT4"
"210229_s_at","0","4444","CSF2"
"210240_s_at","0","2240","CDKN2D"
"210255_at","0","15553","RAD51B"
"210279_at","0","8797","GPR18"
"210281_s_at","0","17968","ZMYM2"
"210291_s_at","0","17952","ZNF174"
"210294_at","0","17193","TAPBP"
"210306_at","0","7847","L3MBTL1"
"210344_at","0","3301","OSBPL7"
"210345_s_at","0","5614","DNAH9"
"210354_at","0","10201","IFNG"
"210384_at","0","9847","PRMT2"
"210400_at","0","9286","GRIN2C"
"210407_at","0","13705","PPM1A"
"210461_s_at","0","11060","ABLIM1"
"210499_s_at","0","1027","PQBP1"
"210530_s_at","0","17439","NR2C1"
"210567_s_at","0","16697","SKP2"
"210671_x_at","0","14555","MAPK8"
"210684_s_at","0","5591","DLG4"
"210688_s_at","0","4210","CPT1A"
"210710_at","0","13865","AGGF1"
"210791_s_at","0","21633","ARHGAP32"
"210836_x_at","0","12771","PDE4D"
"210838_s_at","0","21267","ACVRL1"
"210846_x_at","0","21720","TRIM14"
"210865_at","0","10372","FASLG"
"210866_s_at","0","12083","CNOT4"
"210889_s_at","0","6332","FCGR2B"
"210934_at","0","16125","BLK"
"211021_s_at","0","2536","RGS14"
"211030_s_at","0","16791","SLC6A6"
"211074_at","0","1","---"
"211081_s_at","0","3009","MAP4K5"
"211086_x_at","0","12003","NEK1"
"211089_s_at","0","12005","NEK3"
"211091_s_at","0","12017","NF2"
"211094_s_at","0","12015","LOC101930150 /// NF1"
"211100_x_at","0","2857","LILRA2"
"211110_s_at","0","10475","AR"
"211140_s_at","0","19184","CASP2"
"211141_s_at","0","12082","CNOT3"
"211189_x_at","0","20378","CD84"
"211190_x_at","0","20378","CD84"
"211205_x_at","0","19353","PIP5K1A"
"211237_s_at","0","6475","FGFR4"
"211280_s_at","0","12123","NRF1"
"211299_s_at","0","6835","FLOT2"
"211326_x_at","0","9630","HFE"
"211360_s_at","0","10516","ITPR2"
"211373_s_at","0","14719","PSEN2"
"211426_x_at","0","8513","GNAQ"
"211469_s_at","0","2559","CXCR6"
"211515_s_at","0","7619","DSTYK"
"211521_s_at","0","8331","CYTH4"
"211568_at","0","15338","BAI3"
"211597_s_at","0","19672","HOPX"
"211616_s_at","0","9905","HTR2A"
"211622_s_at","0","10670","ARF3"
"211687_x_at","0","10721","KIR3DL1"
"211700_s_at","0","17457","TRO"
"211753_s_at","0","15704","RLN1"
"211808_s_at","0","4251","CREBBP"
"211821_x_at","0","9484","GYPA"
"211899_s_at","0","21498","TRAF4"
"211901_s_at","0","12754","PDE4A"
"212070_at","0","21110","GPR56"
"212077_at","0","18595","CALD1"
"212090_at","0","9295","GRINA"
"212093_s_at","0","15176","MTUS1"
"212122_at","0","7053","RHOQ"
"212226_s_at","0","20181","PPAP2B"
"212240_s_at","0","13106","PIK3R1"
"212249_at","0","13106","PIK3R1"
"212283_at","0","10651","AGRN"
"212290_at","0","16816","SLC7A1"
"212320_at","0","6020","TUBB"
"212365_at","0","11796","MYO1B"
"212420_at","0","5855","ELF1"
"212446_s_at","0","7412","CERS6"
"212451_at","0","21616","SECISBP2L"
"212497_at","0","21197","MAPK1IP1L"
"212531_at","0","11023","LCN2"
"212559_at","0","14376","PRKAR1B"
"212570_at","0","6705","ENDOD1"
"212575_at","0","20817","TMEM259"
"212641_at","0","9671","HIVEP2"
"212722_s_at","0","6855","JMJD6"
"212758_s_at","0","17235","LOC100996668 /// ZEB1"
"212759_s_at","0","17234","TCF7L2"
"212810_s_at","0","16720","SLC1A4"
"212897_at","0","6745","CDK19"
"212901_s_at","0","6923","CSTF2T"
"212923_s_at","0","6371","PXDC1"
"212963_at","0","19355","TM2D1"
"212979_s_at","0","21638","FAM115A /// LOC100294033"
"212994_at","0","15011","THOC2"
"213002_at","0","11380","MARCKS"
"213023_at","0","17739","UTRN"
"213060_s_at","0","2995","CHI3L2"
"213112_s_at","0","20425","SQSTM1"
"213116_at","0","12005","NEK3"
"213121_at","0","16938","SNRNP70"
"213177_at","0","6806","MAPK8IP3"
"213222_at","0","6880","PLCB1"
"213273_at","0","7844","TENM4"
"213274_s_at","0","4869","CTSB"
"213281_at","0","10526","JUN"
"213286_at","0","12926","ZFR"
"213317_at","0","13170","CLIC5"
"213325_at","0","7797","PVRL3"
"213385_at","0","3063","CHN2"
"213469_at","0","18629","PGAP1"
"213475_s_at","0","10490","ITGAL"
"213481_at","0","15961","S100A13"
"213484_at","0","3540","ADD2"
"213488_at","0","7830","SNED1"
"213566_at","0","15723","RNASE6"
"213622_at","0","3964","COL9A2"
"213668_s_at","0","16975","SOX4"
"213710_s_at","0","18644","CALM1"
"213716_s_at","0","16121","SECTM1"
"213747_at","0","1","---"
"213800_at","0","9628","CFH"
"213810_s_at","0","1","---"
"213903_s_at","0","20804","RQCD1"
"213907_at","0","21412","EEF1E1"
"213924_at","0","8511","GNAL"
"213956_at","0","21745","CEP350"
"213962_s_at","0","6787","ANKLE2"
"213994_s_at","0","2327","SPON1"
"213998_s_at","0","2424","DDX17"
"214040_s_at","0","9369","GSN"
"214056_at","0","11490","MCL1"
"214079_at","0","2019","DHRS2"
"214174_s_at","0","20153","PDLIM4"
"214212_x_at","0","2815","FERMT2"
"214228_x_at","0","17603","TNFRSF4"
"214242_at","0","2753","MAN1A2"
"214250_at","0","12151","NUMA1"
"214269_at","0","19464","MFSD7"
"214287_s_at","0","20187","CDK13"
"214289_at","0","14785","PSMB1"
"214314_s_at","0","21553","EIF5B"
"214315_x_at","0","18898","CALR"
"214326_x_at","0","10528","JUND"
"214360_at","0","16879","SMARCA4"
"214409_at","0","2611","RFPL3S"
"214422_at","0","15550","RAD23B"
"214447_at","0","6131","ETS1"
"214470_at","0","10730","KLRB1"
"214474_at","0","14280","PRKAB2"
"214481_at","0","19139","HIST1H2AM"
"214493_s_at","0","2026","INADL"
"214500_at","0","21447","H2AFY"
"214592_s_at","0","2225","SNAPC5"
"214617_at","0","14182","PRF1"
"214669_x_at","0","10325","IGKC"
"214676_x_at","0","15411","MUC3B"
"214803_at","0","499","CDH6"
"214809_at","0","471","LOC100294145"
"214816_x_at","0","20847","C19orf40"
"214849_at","0","6426","KCTD20"
"214885_at","0","19446","KAT8"
"214933_at","0","17954","CACNA1A /// LOC100507353"
"214969_at","0","11573","MAP3K9"
"214990_at","0","19789","PIGO"
"215015_at","0","21055","CCDC64"
"215017_s_at","0","13640","FNBP1L"
"215099_s_at","0","15941","RXRB"
"215134_at","0","14117","PI4K2A"
"215173_at","0","3675","DNAAF1"
"215189_at","0","10918","KRT86 /// LOC100509764"
"215209_at","0","21760","SEC24D"
"215253_s_at","0","5665","RCAN1"
"215270_at","0","11039","LFNG"
"215357_s_at","0","19534","POLDIP3"
"215374_at","0","2761","PAPOLA"
"215423_at","0","2220","MARCH6"
"215425_at","0","2791","BTG3"
"215554_at","0","8556","GPLD1"
"215575_at","0","21539","PDE4DIP"
"215649_s_at","0","11860","MVK"
"215666_at","0","9704","HLA-DRB4"
"215706_x_at","0","18004","ZYX"
"215711_s_at","0","17787","WEE1"
"215734_at","0","3153","IZUMO4"
"215760_s_at","0","6579","SBNO2"
"215765_at","0","2397","LRRC41"
"215781_s_at","0","20483","TOP3B"
"215818_at","0","8764","NUDT7"
"215844_at","0","9548","TNPO2"
"215848_at","0","12207","SCAPER"
"215891_s_at","0","8500","GM2A"
"215894_at","0","15059","PTGDR"
"215898_at","0","6741","TTLL5"
"215909_x_at","0","12274","MINK1"
"215923_s_at","0","7151","PSD4"
"215925_s_at","0","21596","CD72"
"215984_s_at","0","1233","ARFRP1"
"216031_x_at","0","20739","HN1L"
"216033_s_at","0","7395","FYN"
"216114_at","0","12820","NCKIPSD"
"216202_s_at","0","21407","SPTLC2"
"216224_s_at","0","149","HDAC6"
"216230_x_at","0","16920","SMPD1"
"216245_at","0","10369","IL1RN"
"216268_s_at","0","5657","JAG1"
"216298_at","0","11806","TARP"
"216338_s_at","0","7691","YIPF3"
"216360_x_at","0","6868","RRP12"
"216361_s_at","0","18554","KAT6A"
"216388_s_at","0","3687","LTB4R"
"216399_s_at","0","12207","SCAPER"
"216504_s_at","0","16174","SLC39A8"
"216552_x_at","0","10718","KIR2DS4"
"216596_at","0","7900","DKFZP434L187"
"216609_at","0","17610","TXN"
"216679_at","0","11458","DDR1-AS1"
"216727_at","0","3176","STK38"
"216834_at","0","15687","RGS1"
